,종류,상품명,가격,칼로리,나트륨,탄수화물,당류,지방,트랜스지방,포화지방,콜레스테롤,단백질,
113,유제품,연세)초당옥수수우유240ml,"₩1,800",172Kcal,160mg,27g,25.0g,4.8g,0.0g,2.7g,20mg,5.3g,
114,유제품,동원)덴마크초코초코우유,"₩2,000",355Kcal,210mg,54g,50.0g,10.0g,0.5g,7.0g,30mg,7.0g,
115,유제품,동원)덴마크바나나우유,"₩2,000",270Kcal,145mg,40g,40.0g,10.0g,0.5g,6.5g,40mg,5.0g,
116,유제품,빙그레)메로나맛우유240ml,"₩1,800",195Kcal,110mg,27g,27.0g,7.0g,0.0g,4.5g,30mg,6.0g,
117,유제품,동원)덴마크딸기딸기우유,"₩2,000",230Kcal,170mg,39g,39.0g,5.0g,0.0g,3.2g,25mg,7.0g,
118,유제품,뉴초)아쌈솔트밀크티400ml,"₩2,500",205Kcal,310mg,38g,32.0g,5.0g,0.0g,5.0g,3mg,2.0g,
119,유제품,빙그레)고구마맛우유240ml,"₩1,800",240Kcal,75mg,27g,27.0g,7.0g,0.0g,4.5g,25mg,6.0g,
120,유제품,매일)바나나는하얗다190ml,"₩1,500",120Kcal,80mg,19g,19.0g,3.1g,0.0g,1.9g,10mg,4.0g,
121,이온음료,동아)포카리스웨트P620ml,"₩2,500",25Kcal,50mg,6g,6.0g,0.0g,0.0g,0.0g,0mg,0.0g,
122,이온음료,코카)파워에이드P600ml,"₩2,200",24Kcal,106mg,6g,5.0g,0.0g,0.0g,0.0g,0mg,0.0g,
123,이온음료,코카)토레타P500ml,"₩2,000",83Kcal,291mg,20g,20.0g,0.0g,0.0g,0.0g,0mg,0.8g,
124,이온음료,농심)파워오투오렌지P500,"₩2,300",85Kcal,6mg,21g,21.0g,0.0g,0.0g,0.0g,0mg,0.0g,
125,이온음료,롯데)게토레이레몬600ml,"₩2,100",50Kcal,100mg,13g,13.0g,0.0g,0.0g,0.0g,0mg,0.0g,
126,이온음료,롯데)2프로복숭아P500ml,"₩1,800",130Kcal,35mg,33g,33.0g,0.0g,0.0g,0.0g,0mg,0.0g,
127,이온음료,동아)포카리스웨트캔240ml,"₩1,600",60Kcal,120mg,14g,14.0g,0.0g,0.0g,0.0g,0mg,0.0g,
128,이온음료,코카)파워에이드퍼플P600,"₩2,200",64Kcal,317mg,16g,16.0g,0.0g,0.0g,0.0g,0mg,0.0g,
129,이온음료,롯데)2프로아쿠아P500ml,"₩1,800",10Kcal,250mg,8g,1.0g,0.0g,0.0g,0.0g,0mg,0.0g,
130,이온음료,롯데)게토레이블루P600ml,"₩2,100",50Kcal,270mg,12g,12.0g,0.0g,0.0g,0.0g,0mg,0.0g,
131,이온음료,코카)토레타캔240ml,"₩1,200",40Kcal,140mg,10g,10.0g,0.0g,0.0g,0.0g,0mg,0.0g,
132,이온음료,코카)파워에이드볼츠P600,"₩2,200",64Kcal,321mg,16g,16.0g,0.0g,0.0g,0.0g,0mg,0.0g,
133,이온음료,코카)토레타더락토P500ml,"₩2,000",80Kcal,299mg,20g,20.0g,0.0g,0.0g,0.0g,0mg,0.0g,
134,이온음료,롯데)게토레이오렌지P600,"₩2,100",145Kcal,270mg,36g,36.0g,0.1g,0.0g,0.0g,0mg,0.0g,
135,이온음료,빙그레)슈퍼부스트P500ml,"₩2,500",0Kcal,250mg,6g,0.0g,0.0g,0.0g,0.0g,0mg,1.0g,
136,이온음료,롯데)게토레이레몬캔240ml,"₩1,100",65Kcal,120mg,16g,16.0g,0.0g,0.0g,0.0g,0mg,0.0g,
137,이온음료,농심)데이플러스프로틴500,"₩2,200",20Kcal,250mg,0g,0.0g,0.0g,0.0g,0.0g,0mg,5.0g,
138,이온음료,동원)투명이온P500ml,"₩2,200",0Kcal,280mg,1g,0.0g,0.0g,0.0g,0.0g,0mg,0.0g,
139,이온음료,링티)제로레몬라임500ml,"₩2,900",0Kcal,130mg,13g,0.0g,0.0g,0.0g,0.0g,0mg,0.0g,
140,이온음료,링티)제로복숭아P500ml,"₩2,900",0Kcal,160mg,13g,0.0g,0.0g,0.0g,0.0g,0mg,0.0g,
141,아이스크림,빙그레)부드러운빵또아,"₩2,200",200Kcal,150mg,33g,21.0g,6.0g,0.0g,5.0g,30mg,3.0g,
142,아이스크림,빙그레)슈크림붕어싸만코,"₩2,200",200Kcal,70mg,31g,20.0g,7.0g,0.5g,6.0g,30mg,3.0g,
143,아이스크림,롯데)월드콘,"₩2,200",270Kcal,95mg,35g,25.0g,12.0g,0.5g,7.0g,20mg,5.0g,
144,아이스크림,빙그레)떡붕어싸만코,"₩2,200",215Kcal,80mg,36g,24.0g,7.0g,0.0g,6.0g,0mg,2.0g,
145,아이스크림,해태)부라보콘피스타치오,"₩2,200",210Kcal,50mg,31g,18.0g,8.0g,0.0g,4.9g,5mg,3.0g,
146,아이스크림,롯데)더블비얀코,"₩2,200",190Kcal,65mg,35g,31.0g,4.6g,0.5g,3.0g,15mg,2.0g,
147,아이스크림,빙그레)슈퍼콘초코바나나,"₩2,200",255Kcal,80mg,29g,22.0g,14.0g,0.5g,10.0g,10mg,3.0g,
148,아이스크림,해태)폴라포포도,"₩1,800",75Kcal,70mg,17g,13.0g,0.7g,0.0g,0.5g,0mg,0.0g,
149,아이스크림,빙그레)엔초바,"₩2,200",310Kcal,60mg,21g,16.0g,24.0g,0.5g,15.0g,10mg,2.5g,
150,아이스크림,빙그레)더위사냥액티브,"₩1,800",125Kcal,65mg,25g,16.0g,2.5g,0.0g,2.3g,0mg,0.5g,
151,아이스크림,롯데)와일드바디,"₩1,500",160Kcal,45mg,18g,16.0g,9.0g,0.5g,6.0g,15mg,2.0g,
152,아이스크림,해태)부라보콘바닐라,"₩2,200",240Kcal,70mg,33g,20.0g,10.0g,0.0g,5.0g,15mg,5.0g,
153,아이스크림,롯데)본가찰옥수수,"₩2,200",165Kcal,95mg,23g,18.0g,7.0g,0.5g,4.8g,15mg,2.0g,
154,아이스크림,해태)탱크보이,"₩1,800",95Kcal,35mg,20g,13.0g,1.5g,0.0g,1.5g,0mg,0.0g,
155,아이스크림,빙그레)뽕따소다맛,"₩1,800",115Kcal,50mg,22g,16.0g,3.2g,0.0g,3.0g,0mg,0.0g,
156,아이스크림,빙그레)메로나,"₩1,500",120Kcal,50mg,18g,13.0g,5.0g,0.5g,3.2g,15mg,1.0g,
157,아이스크림,롯데)설레임밀크쉐이크,"₩2,200",180Kcal,95mg,28g,27.0g,6.0g,0.5g,4.6g,35mg,3.0g,
158,아이스크림,롯데)와샤베트,"₩2,200",220Kcal,85mg,30g,29.0g,10.0g,0.0g,7.0g,1mg,3.0g,
159,아이스크림,롯데)거꾸로수박바,"₩1,500",90Kcal,25mg,19g,17.0g,1.4g,0.0g,0.8g,0mg,0.0g,
160,아이스크림,허쉬)쿠키앤크림아이스바,"₩2,500",2800Kcal,72mg,27g,22.0g,18.0g,0.5g,12.0g,17mg,3.0g,
161,디저트,삼립)미니꿀약과,"₩1,000",331Kcal,50mg,45g,18.0g,15.0g,0.0g,1.4g,0mg,4.0g,
162,디저트,405)애플크럼블시나몬롤,"₩2,300",398Kcal,300mg,52g,9.0g,18.0g,0.5g,8.0g,45mg,7.0g,
163,디저트,네슬레)킷캣4핑거초콜릿,"₩1,500",185Kcal,22mg,22g,17.0g,9.5g,0.1g,6.0g,4mg,2.5g,
164,디저트,매일)킨더초콜릿4입,"₩1,700",284Kcal,62mg,27g,26.7g,17.5g,0.2g,11.3g,18mg,4.4g,
165,디저트,마즈)트윅스미니초콜릿,₩400,55Kcal,16mg,7g,5.0g,2.4g,0.0g,1.4g,0mg,0.5g,
166,디저트,롯데)가나마일드초콜릿34g,"₩1,200",190Kcal,25mg,19g,17.0g,11.0g,0.0g,7.0g,5mg,3.0g,
167,디저트,롯데)제로마일드초콜릿,"₩2,500",255Kcal,15mg,25g,0.0g,19.0g,0.0g,13.0g,5mg,3.5g,
168,디저트,롯데)ABC밀크초콜릿72g,"₩2,500",405Kcal,50mg,40g,40.0g,25.0g,0.5g,16.0g,10mg,5.0g,
169,디저트,라라스윗)초콜릿초코바,"₩1,000",165Kcal,60mg,19g,2.0g,14.0g,0.0g,7.0g,15mg,4.0g,
170,디저트,앰지)밀카버블리,"₩3,200",157Kcal,45mg,17g,13.0g,9.0g,0.0g,5.0g,3mg,2.0g,
171,디저트,라라스윗)초콜릿모나카,"₩3,300",125Kcal,5mg,7g,5.0g,6.0g,0.0g,3.5g,15mg,5.0g,
172,디저트,오리온)톡핑헤이즐넛43g,"₩1,500",234Kcal,45mg,24g,20.0g,14.0g,0.0g,6.0g,5mg,3.0g,
173,디저트,매일)페레로로쉐3구,"₩2,700",229Kcal,23mg,18g,15.0g,16.0g,0.0g,5.3g,5mg,3.1g,
174,디저트,동아)박카스젤리,"₩1,200",170Kcal,15mg,40g,26.0g,0.0g,0.0g,0.0g,0mg,3.0g,
175,디저트,오리온)왕꿈틀이젤리67g,"₩1,000",212Kcal,20mg,49g,36.0g,0.0g,0.0g,0.0g,0mg,4.0g,
176,디저트,롯데)구미구미젤리,"₩1,200",225Kcal,20mg,52g,39.0g,0.0g,0.0g,0.0g,0mg,4.0g,
177,디저트,롯데)메론죠스바젤리60g,"₩1,200",185Kcal,15mg,43g,32.0g,0.0g,0.0g,0.0g,0mg,3.5g,
178,디저트,오리온)비틀즈캔디,₩700,162Kcal,34mg,25g,2.9g,0.0g,0.0g,2.8g,0mg,0.0g,
179,디저트,코코)단짝캔디46g,"₩1,500",174Kcal,0mg,43g,43.0g,0.0g,0.0g,0.0g,0mg,0.0g,
180,디저트,마즈)이클립스피치캔디,"₩3,000",80Kcal,0mg,33g,0.0g,0.5g,0.0g,0.5g,0mg,0.0g,
181,과자,오리온)왕고래밥스낵,"₩1,200",247Kcal,390mg,42g,6.0g,7.0g,0.0g,3.6g,0mg,4.0g,
182,과자,CU)HEYROO작은별초코스낵N,"₩1,700",475Kcal,50mg,56g,26.0g,25.0g,0.0g,21.0g,0mg,6.0g,
183,과자,CU)HEYROO소프트계란과자N,"₩2,000",750Kcal,320mg,100g,43.0g,35.0g,0.0g,15.0g,70mg,9.0g,
184,과자,롯데)도리토스나쵸치즈,"₩1,700",145Kcal,180mg,16g,1.4g,7.4g,0.0g,2.3g,0mg,2.2g,
185,과자,농심)새우깡90g,"₩1,400",465Kcal,610mg,54g,5.0g,25.0g,0.5g,8.0g,5mg,6.0g,
186,과자,농심)쫄병매콤한맛,"₩1,200",430Kcal,460mg,49g,8.0g,24.0g,0.0g,12.0g,0mg,5.0g,
187,과자,크라운)콘칩,"₩1,500",377Kcal,370mg,44g,2.0g,21.0g,0.0g,8.0g,5mg,3.0g,
188,과자,농심)양파링80g,"₩1,700",375Kcal,550mg,58g,5.0g,4.9g,0.0g,6.0g,0mg,2.8g,
189,과자,오리온)포카칩오리지널66g,"₩1,700",350Kcal,250mg,34g,1.0g,25.0g,0.0g,10.0g,0mg,4.0g,
190,과자,크라운)카라멜콘땅콩56g,"₩1,500",370Kcal,110mg,48g,20.0g,18.0g,0.0g,6.0g,0mg,4.0g,
191,과자,해태)맛동산90g,"₩2,000",450Kcal,50mg,57g,21.0g,20.0g,0.0g,4.6g,0mg,8.0g,
192,과자,큐피트)옥수수브이콘50g,"₩1,000",240Kcal,188mg,36g,5.3g,9.6g,0.0g,2.4g,0mg,2.9g,
193,과자,해태)자가비짭짤한맛,"₩2,000",270Kcal,90mg,22g,0.0g,19.0g,0.0g,6.0g,0mg,3.0g,
194,과자,크라운)죠리퐁,"₩1,500",330Kcal,120mg,57g,23.0g,10.0g,0.0g,4.4g,0mg,6.0g,
195,과자,오리온)태양의맛썬80g,"₩1,700",416Kcal,340mg,51g,6.0g,20.0g,0.0g,9.0g,0mg,6.0g,
